"0","Administration Generale"
"01","Législatif et exécutif"
"011","Législatif"
"012","Exécutif"
"02","Services généraux"
"021","Administration des finances et des contributions"
"022","Services généraux, autres"
"023","Météorologie et topographie nationale"
"029","Immeubles administratifs, non mentionné ailleurs"
"03","Relations avec l’étranger"
"031","Relations politiques"
"032","Gestion civile des conflits"
"033","Relations économiques"
"034","Coopération au développement"
"035","Pays en transition, aide aux pays de l’Est"
"08","R&D administration publique"
"080","R&D administration publique"
"1","Ordre et sécurité publicsque, défense"
"11","Sécurité publique"
"111","Police"
"112","Sécurité routière"
"113","Office de la circulation routière et de la navigation"
"12","Justice"
"120","Justice"
"13","Exécution des peines"
"130","Exécution des peines"
"14","Questions juridiques"
"140","Questions juridiques"
"15","Service du feu"
"150","Service du feu"
"16","Défense"
"161","Défense militaire"
"162","Défense civile"
"163","Aide militaire à l’étranger, promotion de la paix"
"18","R&D ordre et sécurité publics, défense"
"181","R&D ordre et sécurité publics"
"182","R&D défense"
"2","Formation"
"21","Scolarité obligatoire"
"211","Cycle élémentaire "
"212","Degré primaire "
"213","Degré secondaire I "
"214","Ecoles de musique"
"217","Bâtiments scolaires"
"218","Accueil de jour"
"219","Ecole obligatoire, non mentionné ailleurs"
"22","Ecoles spéciales"
"220","Ecoles spéciales"
"23","Formation professionnelle initiale"
"230","Formation professionnelle initiale"
"25","Ecoles de formation générale"
"251","Ecoles de maturité gymnasiale"
"252","Ecoles de culture générale et autres écoles de formation générale"
"26","Formation professionnelle supérieure"
"260","Formation professionnelle supérieure"
"27","Hautes écoles"
"271","Hautes écoles universitaires"
"272","Hautes écoles pédagogiques"
"273","Hautes écoles spécialisées"
"28","Recherche"
"281","Recherche fondamentale"
"282","R&D formation"
"29","Autres systèmes éducatifs"
"291","Administration"
"299","Formation, non mentionné ailleurs"
"3","Culture, Sport et loisirs, église"
"31","Héritage culturel"
"311","Musées et arts plastiques"
"312","Conservation des monuments historiques et protection du patrimoine"
"32","Culture, autres"
"321","Bibliothèques et littérature"
"322","Concerts Musique et théâtre"
"329","Culture, non mentionné ailleurs"
"33","Médias"
"331","Film et cinéma"
"332","Mass media"
"34","Sport et loisirs"
"341","Sport"
"342","Loisirs"
"35","Eglises et affaires religieuses"
"350","Eglises et affaires religieuses"
"38","R&D culture, sport et loisirs, église"
"381","R&D culture et médias"
"382","R&E sport et loisirs, église"
"4","Santé"
"41","Hôpitaux, homes médicalisés"
"411","Hôpitaux"
"412","Homes médicalisés et maisons pour personnes âgées"
"413","Cliniques psychiatriques"
"42","Soins ambulatoires"
"421","Soins ambulatoires"
"422","Services de sauvetage"
"43","Prévention"
"431","Prévention d’alcool et de drogues"
"432","Lutte contre les maladies, autres"
"433","Service médical des écoles"
"434","Contrôle des denrées alimentaires"
"48","R&D santé"
"480","R&D santé"
"49","Santé publique, non mentionné ailleurs"
"490","Santé publique, non mentionné ailleurs"
"5","Prévoyance sociale"
"51","Maladie et accident"
"511","Assurance-maladie"
"512","Réductions de primes"
"513","Assurance-accidents"
"514","Assurance militaire"
"52","Invalidité"
"521","Assurance-invalidité AI"
"522","Prestations complémentaires AI"
"523","Foyers pour invalides"
"524","Prestations aux invalides"
"53","Vieillesse et survivants"
"531","Assurance vieillesse et survivants AVS"
"532","Prestations complémentaires AVS"
"533","Prestations aux retraités"
"534","Logements pour aînés (sans soins) "
"535","Prestations de vieillesse"
"54","Famille et jeunesse"
"541","Allocations familiales"
"542","Assurance-maternité"
"543","Avance et recouvrement des pensions alimentaires"
"544","Protection de la jeunesse"
"545","Prestations aux familles"
"55","Chômage"
"551","Assurance-chômage"
