"0","Allgemeine Verwaltung"
"01","Legislative und Exekutive"
"011","Legislative"
"012","Exekutive"
"02","Allgemeine Dienste"
"021","Finanz- und Steuerverwaltung"
"022","Allgemeine Dienste, übrige"
"023","Meteorologie und Landestopographie"
"029","Verwaltungsliegenschaften, n.a.g."
"03","Beziehungen zum Ausland"
"031","Politische Beziehungen"
"032","Zivile Konfliktbearbeitung"
"033","Wirtschaftliche Beziehungen"
"034","Entwicklungszusammenarbeit"
"035","Transitionsländer / Osthilfe"
"08","F&E in allgemeine Verwaltung"
"080","F&E in allgemeine Verwaltung"
"1","Öffentliche Ordnung und Sicherheit, Verteidigung"
"11","Öffentliche Sicherheit"
"111","Polizei"
"112","Verkehrssicherheit"
"113","Strassenverkehrs- und Schifffahrtsamt"
"12","Rechtssprechung"
"120","Rechtsprechung"
"13","Strafvollzug"
"130","Strafvollzug"
"14","Allgemeines Rechtswesen"
"140","Allgemeines Rechtswesen"
"15","Feuerwehr"
"150","Feuerwehr"
"16","Verteidigung"
"161","Militärische Verteidigung"
"162","Zivile Verteidigung"
"163","Militärische Hilfe im Ausland, Friedensförderung"
"18","F&E in Öffentliche Ordnung und Sicherheit, Verteidigung"
"181","F&E in Öffentliche Ordnung und Sicherheit"
"182","F&E in Verteidigung"
"2","Bildung"
"21","Obligatorische Schule"
"211","Eingangsstufe"
"212","Primarstufe"
"213","Oberstufe / Sekundarstufe I"
"214","Musikschulen"
"217","Schulliegenschaften"
"218","Tagesbetreuung"
"219","Obligatorische Schule, n.a.g."
"22","Sonderschulen"
"220","Sonderschulen"
"23","Berufliche Grundbildung"
"230","Berufliche Grundbildung"
"25","Allgemeinbildende Schulen"
"251","Gymnasiale Maturitätsschulen"
"252","Fachmittelschulen und andere allgemeinbildende Schulen"
"26","Höhere Berufsbildung"
"260","Höhere Berufsbildung"
"27","Hochschulen"
"271","Universitäre Hochschulen"
"272","Pädagogische Hochschulen"
"273","Fachhochschulen"
"28","Forschung"
"281","Grundlagenforschung"
"282","F&E in Bildung"
"29","Übriges Bildungswesen"
"291","Verwaltung"
"299","Bildung, n.a.g."
"3","Kultur, Sport und Freizeit, Kirche"
"31","Kulturerbe"
"311","Museen und bildende Kunst"
"312","Denkmalpflege und Heimatschutz"
"32","Kultur, übrige"
"321","Bibliotheken und Literatur"
"322","Konzert Musik und Theater"
"329","Kultur, n.a.g."
"33","Medien"
"331","Film und Kino"
"332","Massenmedien"
"34","Sport und Freizeit"
"341","Sport"
"342","Freizeit"
"35","Kirchen und religiöse Angelegenheiten"
"350","Kirchen und religiöse Angelegenheiten"
"38","F&E in Kultur, Sport und Freizeit, Kirche"
"381","F&E in Kultur und Medien"
"382","F&E in Sport und Freizeit, Kirche"
"4","Gesundheit"
"41","Spitäler, Kranken- und Pflegeheime"
"411","Spitäler"
"412","Kranken-, Alters- und Pflegeheime"
"413","Psychiatrische Kliniken"
"42","Ambulante Krankenpflege"
"421","Ambulante Krankenpflege"
"422","Rettungsdienste"
"43","Gesundheitsprävention"
"431","Alkohol- und Drogenprävention"
"432","Krankheitsbekämpfung, übrige"
"433","Schulgesundheitsdienst"
"434","Lebensmittelkontrolle"
"48","F&E in Gesundheit"
"480","F&E in Gesundheit"
"49","Gesundheitswesen, n.a.g."
"490","Gesundheitswesen, n.a.g."
"5","Soziale Sicherheit"
"51","Krankheit und Unfall"
"511","Krankenversicherung"
"512","Prämienverbilligungen"
"513","Unfallversicherungen"
"514","Militärversicherung"
"52","Invalidität"
"521","Invalidenversicherung IV"
"522","Ergänzungsleistungen IV"
"523","Invalidenheime"
"524","Leistungen an Invalide"
"53","Alter + Hinterlassene"
"531","Alters- und Hinterlassenversicherung AHV"
"532","Ergänzungsleistungen AHV"
"533","Leistungen an Pensionierte"
"534","Wohnen im Alter (ohne Pflege)"
"535","Leistungen an das Alter"
"54","Familie und Jugend"
"541","Familienzulagen"
"542","Mutterschaftsversicherung"
"543","Alimentenbevorschussung und -inkasso"
"544","Jugendschutz"
"545","Leistungen an Familien"
"55","Arbeitslosigkeit"
"551","Arbeitslosenversicherung"
"552","Leistungen an Arbeitslose"
"559","Arbeitslosigkeit, n.a.g."
"56","Sozialer Wohnungsbau"
"560","Sozialer Wohnungsbau"
"57","Sozialhilfe und Asylwesen"
"571","Beihilfen"
"572","Wirtschaftliche Hilfe"
"573","Asylwesen"
"579","Fürsorge, n.a.g."
"58","F&E in soziale Sicherheit"
"580","F&E in soziale Wohlfahrt Sicherheit"
"59","Soziale Wohlfahrt, n.a.g."
"591","Erwerbsersatzordnung EO"
"592","Hilfsaktionen im Inland"
"593","Hilfsaktionen im Ausland"
"6","Verkehr und Nachrichtenübermittlung"
"61","Strassenverkehr"
"611","Nationalstrassen"
"612","Hauptstrassen nach Bundesrecht"
"613","Kantonsstrassen, übrige"
"615","Gemeindestrassen"
"618","Privatstrassen"
"619","Strassen, n.a.g."
"62","Öffentlicher Verkehr"
"621","Bahninfrastruktur Öffentliche Verkehrsinfrastruktur"
"622","Regional- und Agglomerationsverkehr"
"623","Agglomerationsverkehr"
"629","Öffentlicher Verkehr n.a.g"
"63","Verkehr, übrige"
"631","Schifffahrt"
"632","Luft- und Raumfahrt"
"633","Sonstige Transportsysteme"
"634","Verkehrsplanung allgemein"
"64","Nachrichtenübermittlung"
"640","Nachrichtenübermittlung"
"68","F&E in Verkehr und Nachrichtenübermittlung"
"681","F&E in Verkehr"
"682","F&E in Nachrichtenübermittlung"
"7","Umweltschutz und Raumordnung"
"71","Wasserversorgung"
"710","Wasserversorgung"
"72","Abwasserbeseitigung"
"720","Abwasserbeseitigung"
"73","Abfallwirtschaft"
"730","Abfallwirtschaft"
"74","Verbauungen"
"741","Gewässerverbauungen"
"742","LawinenverbauungenSchutzverbauungen, übrige"
"75","Arten- und Landschaftsschutz"
"750","Arten- und Landschaftsschutz"
"76","Bekämpfung von Umweltverschmutzung"
"761","Luftreinhaltung und Klimaschutz"
"769","Übrige Bekämpfung von Umweltverschmutzung, n.a.g."
"77","Übriger Umweltschutz"
"771","Friedhof und Bestattung"
"779","Umweltschutz n.a.g."
"78","F&E in Umweltschutz"
"781","F&E in Umwelt"
"782","F&E in Raumordnung"
"79","Raumordnung"
"790","Raumordnung"
"8","Volkswirtschaft"
"81","Landwirtschaft"
"811","Verwaltung, Vollzug und Kontrolle"
"812","Strukturverbesserungen"
"813","Produktionsverbesserungen Vieh"
"814","Produktionsverbesserungen Pflanzen"
"815","Wirtschaftliche Massnahmen"
"816","Direktzahlungen"
"817","Soziale Massnahmen"
"818","Alpwirtschaft"
"82","Forstwirtschaft"
"820","Forstwirtschaft"
"83","Jagd und Fischerei"
"830","Jagd und Fischerei"
"84","Tourismus"
"840","Tourismus"
"85","Industrie, Gewerbe, Handel"
"850","Industrie, Gewerbe, Handel"
"86","Banken und Versicherungen"
"860","Banken und Versicherungen"
"87","Brennstoffe und Energie"
"871","Elektrizität"
"872","Erdöl und Gas"
"873","Nichtelektrische Energie"
"879","Brennstoffe Energie, n.a.g"
"88","F&E in Volkswirtschaft"
"881","F&E in Landwirtschaft"
"882","F&E in Forstwirtschaft, Jagd und Fischerei"
"883","F&E in Brennstoffe und Energie"
"884","F&E in Übrige Volkswirtschaft"
"89","Sonstige gewerbliche Betriebe"
"890","Sonstige gewerbliche Betriebe"
"9","Finanzen und Steuern"
"91","Steuern"
"910","Steuern"
"92","Steuerabkommen"
"920","Steuerabkommen"
"93","Finanz- und Lastenausgleich"
"930","Finanz- und Lastenausgleich"
"94","Ertragsanteile an Bundeseinnahmen"
"940","Ertragsanteile an Bundeseinnahmen ohne Zweckbindung"
"95","Ertragsanteile, übrige,"
"950","Ertragsanteile, übrige, ohne Zweckbindung"
"96","Vermögens- und Schuldenverwaltung"
"961","Zinsen"
"962","Emissionskosten"
"963","Liegenschaften des Finanzvermögens"
"969","Finanzvermögen, n.a.g."
"97","Rückverteilungen"
"971","Rückverteilungen aus CO2-Abgabe"
"99","Nicht aufgeteilte Posten"
"990","Nicht aufgeteilte Posten"
"995","Neutrale Aufwendungen und Erträge"
"999","Abschluss"
